Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged
503836015,"Feb 27, 2016, 6:54:25 PM",Lunch Ride,Ride,,6954,16.84,,FALSE,,activities/555620969.fit.gz,49.89519882,,6954,6653,16844.69922,11.39999962,,772,,1649.599976,2395,32.79999924,3.301929951,,,,,,,,72.7365036,,,19,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034642705,"Jun 10, 2017, 8:00:06 PM",Afternoon Hike,Hike,,6868,5.28,,FALSE,,activities/1137740086.fit.gz,,,6868,5207,5285.200195,2.799999952,,569,,2522.600098,3076.199951,48,10.37240028,,,121,58.66439819,,,,,,,30,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034643278,"Jun 10, 2017, 10:19:51 PM",Afternoon Hike,Hike,,6512,7.44,,FALSE,,activities/1137740828.fit.gz,,,6512,6512,7447.700195,4.099999905,,25,,2590,3150.800049,21.39999962,-7.422430038,,,124,60.51649857,,,,,,,24,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057177621,"Jun 27, 2017, 2:55:39 PM",Morning Ride,Ride,,7644,19.5,,FALSE,,activities/1160883981.fit.gz,49.89519882,,7644,6526,19501,12,,552,,2077.800049,2337,23.10000038,0.078970298,,,,,,,,55.50770187,,,33,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057178149,"Jun 15, 2017, 3:56:57 PM",Morning Run,Run,,5603,10.35,,FALSE,,activities/1160880083.fit.gz,49.89519882,,5603,5348,10352.09961,6.199999809,,238,,1899.599976,2018.599976,41.59999847,0.197061002,,,92,86.48329926,,,,,,,29,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057178597,"Jun 16, 2017, 2:18:28 PM",Morning Ride,Ride,,7375,19.65,,FALSE,,activities/1160880729.fit.gz,49.89519882,,7375,7090,19653.90039,9.5,,499,,2000.199951,2255.800049,27.20000076,0.0305283,,,,,,,,48.17070007,,,28,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057179141,"Jun 23, 2017, 2:39:33 PM",Morning Run,Run,,5350,11.08,,FALSE,,activities/1160881851.fit.gz,49.89519882,,5350,5115,11087.40039,3.799999952,,245,,1841.199951,1975.800049,22.39999962,0.0541155,,,95,87.90450287,,,,,,,15,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057179270,"Jun 24, 2017, 7:41:48 PM",Afternoon Ride,Ride,,3927,11.79,,FALSE,,activities/1160882274.fit.gz,49.89519882,,3927,3733,11795.7002,8.100000381,,243,,1687.400024,1864.599976,13.5,0.076298997,,,,,,,,46.00619888,,,30,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064939617,"Jul 1, 2017, 2:50:12 PM",Morning Hike,Hike,,14595,13.46,,FALSE,,activities/1168756913.fit.gz,,,14595,12291,13461.5,8.699999809,,633,,3020.199951,3701.600098,38.5,0.722059011,,,124,58.44189835,,,,,,,23,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064939744,"Jul 2, 2017, 1:16:50 PM",Morning Run,Run,,3286,5.69,,FALSE,,activities/1168757061.fit.gz,49.89519882,,3286,2915,5697.700195,3,,194,,2733.199951,2924.399902,32.09999847,-0.210611001,,,95,85.91239929,,,,,,,20,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
